Frequency (MHz),Power (Watts),Error Time (s),Total Errors
3075,47.77,0.28529365399998596,1
3075,50.45,0.06498917000004667,2
3075,50.45,0.03512165299997605,3
3075,50.45,0.033672147000004315,4
3075,53.25,0.034590967999974964,5
3075,53.25,0.03417479500001264,6
3075,53.25,0.032305004000022564,7
3075,55.71,0.03260419999998021,8
3075,55.71,0.03187831799999685,9
3075,55.71,0.03224441200001138,10
3075,57.88,0.03134325000002036,11
3075,57.88,0.031419848999973965,12
3075,57.88,0.031333882000012636,13
3075,59.80,0.031837505999988025,14
3075,59.80,0.031240706000005503,15
3075,59.80,0.03128656899997395,16
3075,59.80,0.033023246000027484,17
3075,61.52,0.03265299299999924,18
3075,61.52,0.0367171409999969,19
3075,63.07,0.03355853099998285,20
3075,63.07,0.034039185000040106,21
3075,63.07,0.03376265299999659,22
3075,88.71,0.03372157699999434,23
3075,88.71,0.03175251999999773,24
3075,88.71,0.03059547999998813,25
3075,90.39,0.034559648000026755,26
3075,90.39,0.03405760199996166,27
3075,90.39,0.033766092999997,28
3075,91.29,0.0336727559999872,29
3075,91.29,0.033887215000049764,30
3075,91.29,0.03339333299999225,31
3075,91.88,0.033558502999994744,32
3075,91.88,0.0364680559999897,33
3075,91.88,0.032815099999993436,34
3075,92.57,0.03585176400002865,35
3075,92.57,0.033475932999976976,36
3075,92.57,0.03493492400002651,37
3075,92.60,0.03320641299995941,38
3075,92.60,0.031181202000027497,39
3075,92.60,0.03155021099996702,40
3075,92.62,0.030967560000021876,41
3075,92.62,0.03461533600000166,42
3075,92.62,0.03372128899997051,43
3075,92.65,0.03359413400005451,44
3075,92.65,0.03341499999999087,45
