Frequency (MHz),Power (Watts),SM Usage (%),Error Time (s),Error Magnitude,Hamming Distance
3090,218.96,91,1.226024866104126,524288,1
3090,230.90,91,4.25584602355957,524288,1
3090,200.64,28,0.22265362739562988,524288,1
3090,231.16,91,1.3288242816925049,524288,1
3090,233.34,92,1.9582374095916748,524288,1
3090,211.04,90,0.4728114604949951,524288,1
3090,191.03,92,0.5012564659118652,524288,1
3090,185.14,91,0.4899120330810547,524288,1
3090,202.87,90,1.1076395511627197,524288,1
3090,211.79,92,0.54221510887146,512,1
3090,213.30,92,0.9340689182281494,512,1
